hgnc_symbol	drugbank_id	relation
CHRM1	DB01085	1
CHRM2	DB01085	1
CHRM3	DB01085	1
CHRM4	DB01085	1
CHRM5	DB01085	1
SCN4A	DB12712	-1
DRD4	DB01100	-1
CACNA1I	DB01100	-1
KCNA10	DB01100	-1
DRD3	DB01100	-1
HTR2A	DB01100	-1
DRD2	DB01100	-1
HTR2B	DB00960	1
HTR2A	DB00960	1
ADRB2	DB00960	1
ADRB1	DB00960	1
PPARG	DB01132	1
CHRM1	DB00670	-1
PTGS1	DB00554	-1
PTGS2	DB00554	-1
ACHE	DB00733	1
DRD4	DB00413	1
DRD3	DB00413	1
DRD2	DB00413	1
HMGCR	DB00175	-1
NR3C1	DB00860	1
NR3C1	DB00635	1
SLC22A8	DB01032	-1
SLC22A11	DB01032	-1
SLC22A6	DB01032	-1
ABCA1	DB01599	-1
SCN10A	DB00721	-1
DRD2	DB00433	-1
DRD3	DB00433	-1
CHRM1	DB00387	-1
PGR	DB00396	1
TRPC5	DB00396	-1
CATSPER1	DB00396	1
CATSPER4	DB00396	1
CATSPER2	DB00396	1
